Number;Name;Released_date;Retired_date;Retail;Value
10251-1;Brick Bank;02.01.2016;14.11.2018;149.99;514.03
10702-1;Creative Building Set;02.01.2016;24.11.2017;24.99;29.44
10721-1;Iron Man vs. Loki;01.03.2016;26.11.2016;12.99;43.55
21029-1;Buckingham Palace;17.09.2016;24.11.2018;49.99;106.34
21030-1;United States Capitol Building;17.09.2016;29.11.2019;99.99;126.80
21031-1;Burj Khalifa;02.01.2016;18.12.2017;39.99;94.35
21123-1;The Iron Golem;01.03.2016;03.12.2018;19.99;35.19
21124-1;The End Portal;01.03.2016;01.12.2017;59.99;187.94
21125-1;The Jungle Tree House;01.03.2016;16.11.2017;89.99;177.36
21126-1;The Wither;01.03.2016;19.11.2017;34.99;161.98
21127-1;The Fortress;17.09.2016;05.12.2017;109.99;259.60
21128-1;The Village;01.06.2016;16.12.2017;199.99;579.79
21305-1;Maze;02.04.2016;25.11.2016;69.99;160.45
30278-1;Poe's X-wing Fighter;25.01.2016;29.04.2017;3.99;5.29
30279-1;Kylo Ren's Command Shuttle;15.07.2016;01.10.2016;0.00;4.55
30398-1;Adventure Camp Bridge;16.01.2016;31.01.2016;0.00;4.39
30421-1;Skybound Plane;01.02.2016;01.03.2016;3.51;5.56
30422-1;Kai's Mini Dragon;01.03.2016;25.03.2016;0.00;4.65
30472-1;Parrot;01.05.2016;01.05.2018;0.00;3.19
40221-1;Fountain;01.06.2016;17.11.2017;9.99;17.60
41065-1;Rapunzel's Best Day Ever;01.08.2016;18.11.2017;17.59;24.67
41067-1;Belle's Enchanted Castle;01.08.2016;03.12.2017;49.99;78.50
41069-1;Treasure's Day at the Pool;02.01.2016;29.11.2016;7.99;13.18
41110-1;Birthday Party;02.01.2016;02.12.2016;19.99;26.00
41111-1;Party Train;02.01.2016;29.11.2016;9.99;11.62
41112-1;Party Cakes;02.01.2016;04.12.2016;4.99;8.95
41113-1;Party Gift Shop;02.01.2016;15.12.2016;4.99;7.58
41114-1;Party Styling;02.01.2016;25.11.2016;4.99;8.79
41115-1;Emma's Creative Workshop;02.01.2016;28.11.2016;9.99;17.60
41116-1;Olivia's Exploration Car;02.01.2016;25.11.2016;14.99;21.08
41117-1;Pop Star TV Studio;02.01.2016;30.12.2016;24.99;29.38
41118-1;Heartlake Supermarket;02.01.2016;25.11.2017;34.99;67.52
41119-1;Heartlake Cupcake Cafe;02.01.2016;24.11.2017;39.99;55.15
41120-1;Adventure Camp Archery;02.01.2016;09.03.2017;9.99;12.74
